                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0478,                 4.9271,                  1.769,                0.81489,                0.01624,                0.03198,                0.01211,                 2.2617,                  4.156,                 1.7451,             0.00027489,             0.00027489,             0.00027489
                      1,                 2.0802,                 4.1287,                 1.7187,                0.54215,                0.07331,                  0.041,                0.01578,                 2.3478,                 4.4324,                 1.8102,             0.00054709,             0.00054709,             0.00054709
                      2,                 2.0817,                 3.8381,                  1.744,                 0.6433,                0.02249,                0.01932,                0.00608,                 2.5629,                  3.838,                 1.8613,             0.00081378,             0.00081378,             0.00081378
                      3,                 2.1641,                   3.62,                   1.79,                0.41025,                0.06425,                0.01544,                0.00638,                 2.4053,                 4.6103,                  1.872,             0.00080826,             0.00080826,             0.00080826
                      4,                 2.0579,                 3.2935,                 1.7337,                0.60466,                0.06296,                0.06316,                0.02717,                 2.4996,                  3.419,                 1.8563,             0.00080826,             0.00080826,             0.00080826
                      5,                 2.0551,                 3.1921,                 1.7265,                 0.6759,                0.08435,                0.05157,                0.01757,                 2.3771,                 3.4217,                 1.8549,             0.00080001,             0.00080001,             0.00080001
                      6,                 1.9336,                 2.9994,                 1.7032,                0.66665,                0.09395,                0.11291,                0.04795,                 2.3998,                 3.1369,                 1.8898,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.9475,                 2.8729,                 1.6537,                0.47076,                0.07366,                0.09084,                0.03135,                  2.373,                 3.1811,                 1.9287,             0.00078352,             0.00078352,             0.00078352
                      8,                 1.8987,                  2.718,                 1.6145,                0.47472,                0.06541,                0.13907,                0.03823,                 2.4437,                 3.4035,                 1.9256,             0.00077527,             0.00077527,             0.00077527
                      9,                 1.8436,                 2.6084,                 1.5816,                0.45692,                0.08982,                0.07324,                0.03528,                 2.3739,                 3.5575,                 1.8216,             0.00076703,             0.00076703,             0.00076703
                     10,                 1.8318,                  2.568,                 1.5962,                 0.4438,                0.09769,                0.09444,                0.05707,                 2.3329,                 3.2305,                 1.8434,             0.00075878,             0.00075878,             0.00075878
                     11,                 1.7945,                 2.4742,                  1.557,                0.45747,                0.10586,                0.08316,                  0.035,                 2.3466,                 3.5485,                 1.7756,             0.00075053,             0.00075053,             0.00075053
                     12,                 1.8057,                 2.4669,                 1.5366,                0.47092,                0.11564,                0.06621,                0.02971,                 2.3635,                 3.0341,                 1.8595,             0.00074229,             0.00074229,             0.00074229
                     13,                 1.7608,                 2.3451,                 1.5284,                0.43516,                0.14367,                0.10903,                0.03469,                 2.3295,                 2.9276,                 1.7982,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.7541,                 2.2764,                 1.4952,                0.31678,                0.09972,                0.08756,                0.03448,                 2.3252,                 3.1039,                 1.8418,             0.00072579,             0.00072579,             0.00072579
                     15,                 1.7024,                 2.2159,                  1.491,                0.62567,                0.11408,                0.10789,                0.04547,                 2.2594,                 2.9531,                 1.8002,             0.00071755,             0.00071755,             0.00071755
                     16,                 1.6809,                 2.1468,                 1.4469,                 0.4558,                0.15573,                0.11253,                0.03844,                 2.4023,                 3.0887,                 1.9334,              0.0007093,              0.0007093,              0.0007093
                     17,                 1.6642,                 2.0682,                 1.4296,                0.44522,                0.15924,                0.11004,                0.03667,                 2.4144,                 3.1696,                 1.8971,             0.00070105,             0.00070105,             0.00070105
                     18,                 1.6901,                 2.0025,                 1.4251,                0.37905,                0.11135,                0.09755,                 0.0439,                 2.4158,                 3.0212,                 1.8977,             0.00069281,             0.00069281,             0.00069281
                     19,                 1.6546,                 1.9963,                 1.4248,                   0.44,                0.13418,                0.11501,                0.03725,                 2.4391,                 3.2165,                 1.8704,             0.00068456,             0.00068456,             0.00068456
