                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8062,                  4.474,                 1.8397,                0.00152,                0.43702,                 0.0377,                0.01359,                 2.0731,                 6.3154,                 1.6187,             0.00025823,             0.00025823,             0.00025823
                      1,                 1.8503,                 4.1832,                 1.8168,                0.00151,                0.42266,                 0.0232,                0.00908,                 2.2718,                 6.0161,                 1.7624,             0.00051959,             0.00051959,             0.00051959
                      2,                 1.9046,                 3.9784,                 1.7974,                  0.974,                 0.0125,                0.02638,                0.01004,                 2.5365,                 5.8558,                 1.8133,             0.00077568,             0.00077568,             0.00077568
                      3,                 1.8534,                  3.782,                 1.7861,                0.90782,                   0.05,                0.05532,                0.02126,                 2.4495,                  7.936,                 1.9215,             0.00080826,             0.00080826,             0.00080826
                      4,                 1.8874,                 3.7268,                 1.8184,                0.20371,                0.05018,                0.03736,                0.01394,                 2.6438,                 5.7737,                 2.0001,             0.00080826,             0.00080826,             0.00080826
                      5,                   1.86,                 3.6086,                 1.8125,                0.15558,                0.15905,                0.05564,                0.02505,                 2.5392,                 7.4044,                 2.0255,             0.00080001,             0.00080001,             0.00080001
                      6,                 1.8031,                 3.3457,                 1.7317,                0.29928,                0.11817,                0.02679,                0.00884,                 2.5767,                 14.811,                 2.0183,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.7486,                 3.1077,                 1.7183,                 0.1935,                0.17905,                0.06658,                0.01501,                 2.5288,                 9.0969,                 2.0628,             0.00078352,             0.00078352,             0.00078352
                      8,                 1.7383,                 3.1255,                 1.6665,                0.31027,                0.09308,                0.04286,                0.01767,                 2.5525,                 7.2459,                 2.0197,             0.00077527,             0.00077527,             0.00077527
                      9,                 1.7658,                 3.0398,                 1.6412,                0.56358,                0.10569,                0.03768,                0.01394,                 2.4644,                  4.908,                 1.9707,             0.00076703,             0.00076703,             0.00076703
                     10,                 1.7041,                 2.9633,                  1.659,                0.76496,                0.05471,                0.09355,                0.03346,                 2.4311,                 4.4232,                  1.844,             0.00075878,             0.00075878,             0.00075878
                     11,                 1.6839,                  2.863,                 1.5918,                0.51507,                0.06771,                0.07295,                0.03504,                  2.461,                 4.6492,                 1.9191,             0.00075053,             0.00075053,             0.00075053
                     12,                 1.6412,                 2.8324,                 1.5999,                0.35857,                0.16087,                0.12603,                0.05393,                 2.5059,                 5.2709,                 1.9497,             0.00074229,             0.00074229,             0.00074229
                     13,                  1.589,                 2.6207,                  1.559,                0.21893,                0.22262,                0.14127,                0.05048,                 2.4605,                 4.1955,                 1.8445,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.5568,                  2.589,                 1.5433,                0.31037,                0.15062,                0.10803,                0.02748,                  2.449,                 4.1494,                  1.886,             0.00072579,             0.00072579,             0.00072579
                     15,                 1.5403,                 2.4867,                 1.5336,                0.15308,                0.09273,                0.05451,                0.01466,                 2.4126,                 4.4983,                 1.8681,             0.00071755,             0.00071755,             0.00071755
                     16,                 1.5245,                 2.3794,                 1.5034,                0.34582,                0.08145,                0.05575,                0.02036,                 2.5204,                 4.2257,                 1.8963,              0.0007093,              0.0007093,              0.0007093
                     17,                 1.4976,                 2.3982,                 1.4742,                0.14893,                0.18293,                0.09748,                0.02816,                 2.4628,                 4.0979,                 1.9034,             0.00070105,             0.00070105,             0.00070105
                     18,                 1.4871,                 2.3287,                 1.4895,                0.24519,                0.24391,                0.16169,                0.05698,                 2.4482,                 4.7327,                 1.9287,             0.00069281,             0.00069281,             0.00069281
                     19,                 1.4881,                 2.2679,                   1.47,                0.34475,                0.19975,                0.16702,                0.05924,                 2.3564,                 3.9072,                 1.8182,             0.00068456,             0.00068456,             0.00068456
                     20,                 1.4536,                 2.1355,                 1.4407,                0.14511,                0.15852,                0.11836,                0.03222,                 2.4552,                   3.88,                 2.0003,             0.00067631,             0.00067631,             0.00067631
                     21,                 1.4475,                 2.1286,                 1.4146,                0.11889,                0.22296,                 0.1384,                0.04903,                 2.4053,                 3.8775,                 1.9209,             0.00066807,             0.00066807,             0.00066807
                     22,                  1.426,                 2.0707,                 1.3999,                0.31411,                0.14403,                0.11415,                0.04494,                 2.4287,                  3.762,                  1.895,             0.00065982,             0.00065982,             0.00065982
                     23,                 1.3881,                 2.0195,                 1.4083,                0.31363,                0.16907,                0.11045,                 0.0324,                 2.4788,                 4.0517,                 1.9252,             0.00065157,             0.00065157,             0.00065157
